,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,ExterQual_Ex,ExterQual_TA,BsmtQual_Ex,BsmtFinType1_GLQ,KitchenQual_Ex,KitchenQual_TA,FireplaceQu_nan,GarageFinish_Fin,GarageFinish_Unf
0,7,2003,2003,196.0,706,856,856,1710,2,8,0,2003.0,2,548,0,0,0,1,0,0,1,0,0
1,6,1976,1976,0.0,978,1262,1262,1262,2,6,1,1976.0,2,460,0,1,0,0,0,1,0,0,0
2,7,2001,2002,162.0,486,920,920,1786,2,6,1,2001.0,2,608,0,0,0,1,0,0,0,0,0
3,7,1915,1970,0.0,216,756,961,1717,1,7,1,1998.0,3,642,0,1,0,0,0,0,0,0,1
4,8,2000,2000,350.0,655,1145,1145,2198,2,9,1,2000.0,3,836,0,0,0,1,0,0,0,0,0
5,5,1993,1995,0.0,732,796,796,1362,1,5,0,1993.0,2,480,0,1,0,1,0,1,1,0,1
6,8,2004,2005,186.0,1369,1686,1694,1694,2,7,1,2004.0,2,636,0,0,1,1,0,0,0,0,0
7,7,1973,1973,240.0,859,1107,1107,2090,2,7,2,1973.0,2,484,0,1,0,0,0,1,0,0,0
8,7,1931,1950,0.0,0,952,1022,1774,2,8,2,1931.0,2,468,0,1,0,0,0,1,0,0,1
9,5,1939,1950,0.0,851,991,1077,1077,1,5,2,1939.0,1,205,0,1,0,1,0,1,0,0,0
10,5,1965,1965,0.0,906,1040,1040,1040,1,5,0,1965.0,1,384,0,1,0,0,0,1,1,0,1
11,9,2005,2006,286.0,998,1175,1182,2324,3,11,2,2005.0,3,736,1,0,1,1,1,0,0,1,0
12,5,1962,1962,0.0,737,912,912,912,1,4,0,1962.0,1,352,0,1,0,0,0,1,1,0,1
13,7,2006,2007,306.0,0,1494,1494,1494,2,7,1,2006.0,3,840,0,0,0,0,0,0,0,0,0
14,6,1960,1960,212.0,733,1253,1253,1253,1,5,1,1960.0,1,352,0,1,0,0,0,1,0,0,0
15,7,1929,2001,0.0,0,832,854,854,1,5,0,1991.0,2,576,0,1,0,0,0,1,1,0,1
16,6,1970,1970,180.0,578,1004,1004,1004,1,5,1,1970.0,2,480,0,1,0,0,0,1,0,1,0
17,4,1967,1967,0.0,0,0,1296,1296,2,6,0,1967.0,2,516,0,1,0,0,0,1,1,0,1
18,5,2004,2004,0.0,646,1114,1114,1114,1,6,0,2004.0,2,576,0,1,0,1,0,0,1,0,1
19,5,1958,1965,0.0,504,1029,1339,1339,1,6,0,1958.0,1,294,0,1,0,0,0,1,1,0,1
20,8,2005,2006,380.0,0,1158,1158,2376,3,9,1,2005.0,3,853,0,0,1,0,0,0,0,0,0
21,7,1930,1950,0.0,0,637,1108,1108,1,6,1,1930.0,1,280,0,1,0,0,0,0,0,0,1
22,8,2002,2002,281.0,0,1777,1795,1795,2,7,1,2002.0,2,534,0,0,0,0,0,0,0,0,0
23,5,1976,1976,0.0,840,1040,1060,1060,1,6,1,1976.0,2,572,0,1,0,1,0,1,0,0,1
24,5,1968,2001,0.0,188,1060,1060,1060,1,6,1,1968.0,1,270,0,1,0,0,0,0,0,0,1
25,8,2007,2007,640.0,0,1566,1600,1600,2,7,1,2007.0,3,890,0,0,0,0,0,0,0,0,0
26,5,1951,2000,0.0,234,900,900,900,1,5,0,2005.0,2,576,0,1,0,0,0,0,1,0,1
27,8,2007,2008,200.0,1218,1704,1704,1704,2,7,1,2008.0,3,772,0,0,1,1,0,0,0,0,0
28,5,1957,1997,0.0,1277,1484,1600,1600,1,6,2,1957.0,1,319,0,1,0,0,0,1,0,0,0
29,4,1927,1950,0.0,0,520,520,520,1,4,0,1920.0,1,240,0,1,0,0,0,0,1,0,1
30,4,1920,1950,0.0,0,649,649,1317,1,6,0,1920.0,1,250,0,1,0,0,0,1,1,0,1
31,5,1966,2006,0.0,0,1228,1228,1228,1,6,0,1966.0,1,271,0,1,0,0,0,0,1,0,1
32,8,2007,2007,0.0,0,1234,1234,1234,2,7,0,2007.0,2,484,0,0,1,0,0,0,1,0,0
